date,north,middle,south,total,redzone
20110101,0.0086,0.0698,0.0419,0.1203,0.0044
20110102,0.0092,0.0763,0.0317,0.1172,0.0231
20110103,0.0066,0.0821,0.0284,0.1171,0.0443
20110104,0.0047,0.0854,0.0229,0.113,0.0387
20110105,0.0018,0.0748,0.0174,0.094,0.0381
20110106,0.0003,0.0741,0.0129,0.0873,0.0124
20110107,0,0.0813,0.0088,0.0901,0.0068
20110108,0.0016,0.1143,0.0195,0.1354,0.0239
20110109,0.0022,0.1192,0.0262,0.1476,0.0633
20110110,0.001,0.1067,0.0342,0.1419,0.0627
20110111,0.0018,0.0944,0.0382,0.1344,0.0289
20110112,0.0021,0.0794,0.047,0.1285,0.0042
20110113,0.0034,0.0581,0.063,0.1245,0.0144
20110114,0,0.0576,0.0609,0.1185,0.0263
20110115,0,0.048,0.0582,0.1062,0.0273
20110116,0,0.0431,0.0502,0.0933,0.0174
20110117,0,0.0248,0.0352,0.06,0.0008
20110118,0,0.0198,0.0233,0.0431,0.0044
20110119,0,0.025,0.0158,0.0408,0.0084
20110120,0,0.0194,0.0065,0.0259,0.0128
20110121,0,0.0231,0.0019,0.025,0.0164
20110122,0,0.0197,0.002,0.0217,0.0118
20110123,0.0011,0.0429,0.0074,0.0514,0.0269
20110124,0.0021,0.0461,0.0103,0.0585,0.0263
20110125,0.003,0.0812,0.0132,0.0974,0.0317
20110126,0.0002,0.0841,0.0232,0.1075,0.0299
20110127,0.0044,0.0711,0.0214,0.0969,0.0206
20110128,0.0142,0.0837,0.0264,0.1243,0.018
20110129,0.0196,0.0809,0.0268,0.1273,0.015
20110130,0.0245,0.1005,0.0348,0.1598,0.0417
20110131,0.0266,0.1038,0.0401,0.1705,0.0509
20110201,0.0315,0.0971,0.0346,0.1632,0.0491
20110202,0.0259,0.0747,0.0299,0.1305,0.0094
20110203,0.0201,0.0536,0.0272,0.1009,0.0018
20110204,0.0118,0.0399,0.0225,0.0742,0.0052
20110205,0.0037,0.0416,0.0204,0.0657,0.0206
20110206,0,0.0318,0.0159,0.0477,0.0122
20110207,0,0.0354,0.0223,0.0577,0.0074
20110208,0.0004,0.0431,0.0327,0.0762,0.0074
20110209,0,0.0465,0.0384,0.0849,0.0164
20110210,0,0.0444,0.0446,0.089,0.0144
20110211,0,0.0235,0.0615,0.085,0.0096
20110212,0,0.0193,0.0708,0.0901,0.005
20110213,0.0002,0.0165,0.0649,0.0816,0.0044
20110214,0.0056,0.0153,0.0532,0.0741,0.0022
20110215,0.0048,0.0047,0.0497,0.0592,0.0002
20110216,0.0027,0.003,0.0349,0.0406,0.0014
20110217,0.0032,0.0018,0.031,0.036,0.0002
20110218,0.0017,0.0154,0.0176,0.0347,0.005
20110219,0.0037,0.0321,0.0108,0.0466,0.0202
20110220,0.0061,0.0472,0.0081,0.0614,0.0323
20110221,0.0068,0.043,0.0055,0.0553,0.0124
20110222,0.005,0.0392,0.0024,0.0466,0.0136
20110223,0.0036,0.0553,0.0051,0.064,0.0104
20110224,0.0064,0.0692,0.0116,0.0872,0.0072
20110225,0.0133,0.09,0.0121,0.1154,0.0217
20110226,0.0176,0.1124,0.0164,0.1464,0.0405
20110227,0.0232,0.102,0.0165,0.1417,0.0487
20110228,0.0251,0.1027,0.0163,0.1441,0.0497
20110301,0.022,0.0785,0.0169,0.1174,0.016
20110302,0.0176,0.0656,0.0138,0.097,0
20110303,0.0111,0.0295,0.0152,0.0558,0
20110304,0.0022,0.0127,0.0149,0.0298,0.0062
20110305,0.0004,0.0051,0.0119,0.0174,0.004
20110306,0.0003,0.0238,0.0144,0.0385,0.0026
20110307,0,0.0237,0.0296,0.0533,0.0052
20110308,0,0.034,0.0398,0.0738,0.0074
20110309,0,0.0355,0.0412,0.0767,0.0194
20110310,0,0.0461,0.0498,0.0959,0.0263
20110311,0,0.0348,0.0479,0.0827,0.0154
20110312,0,0.0211,0.0521,0.0732,0.0026
20110313,0.0004,0.0135,0.0471,0.061,0
20110314,0.0001,0.0047,0.0427,0.0475,0.0014
20110315,0.0035,0.0095,0.0381,0.0511,0.0066
20110316,0.0047,0.0189,0.0366,0.0602,0.002
20110317,0.0075,0.0359,0.0399,0.0833,0.0058
20110318,0.0052,0.0374,0.0412,0.0838,0.0219
20110319,0.0032,0.0417,0.0398,0.0847,0.0337
20110320,0.0059,0.0568,0.0407,0.1034,0.0128
20110321,0.0061,0.0606,0.037,0.1037,0.0094
20110322,0.0114,0.0397,0.0292,0.0803,0.008
20110323,0.01,0.0253,0.0231,0.0584,0.0054
20110324,0.005,0.0184,0.0171,0.0405,0.0078
20110325,0.0039,0.0136,0.0176,0.0351,0.0026
20110326,0.0041,0.0106,0.0141,0.0288,0.008
20110327,0.0059,0.0088,0.0084,0.0231,0.0014
20110328,0.0066,0.0095,0.0057,0.0218,0.0008
20110329,0.0017,0.0019,0.0054,0.009,0
20110330,0.0004,0.006,0.0046,0.011,0.001
20110331,0.0001,0.0092,0.0037,0.013,0.0062
20110401,0.0004,0.0073,0.0014,0.0091,0.0036
20110402,0.0004,0.0095,0.0026,0.0125,0.0032
20110403,0,0.0045,0.001,0.0055,0.0002
20110404,0,0.01,0.005,0.015,0.0006
20110405,0,0.0148,0.0104,0.0252,0.0012
20110406,0,0.0192,0.0227,0.0419,0.0036
20110407,0,0.0252,0.0271,0.0523,0.0122
20110408,0,0.0205,0.0331,0.0536,0.0126
20110409,0,0.0169,0.0343,0.0512,0.0024
20110410,0,0.0137,0.0374,0.0511,0
20110411,0,0.0055,0.0414,0.0469,0.0002
20110412,0,0.0048,0.0429,0.0477,0
20110414,0,0.0116,0.0528,0.0644,0
20110415,0,0.0212,0.0578,0.079,0.0134
20110416,0,0.0224,0.0554,0.0778,0.0172
20110417,0,0.0214,0.0541,0.0755,0.0032
20110418,0,0.02,0.0482,0.0682,0
20110419,0,0.014,0.0409,0.0549,0
20110420,0.0018,0.0113,0.0356,0.0487,0.0014
20110421,0.0006,0.0102,0.0353,0.0461,0.0002
20110422,0,0.0106,0.0288,0.0394,0.0092
20110423,0.0001,0.0207,0.0212,0.042,0.0086
20110424,0.0001,0.0309,0.0136,0.0446,0.01
20110425,0.0004,0.0444,0.0044,0.0492,0.0156
20110426,0,0.0274,0.0019,0.0293,0.0162
20110427,0,0.031,0,0.031,0.0255
20110428,0,0.036,0,0.036,0.0162
20110429,0.0032,0.0244,0,0.0276,0.0028
20110430,0.006,0.02,0,0.026,0.0008
20110501,0.0067,0.0098,0,0.0165,0.0036
20110502,0.012,0.019,0.0019,0.0329,0.0088
20110503,0.0109,0.0149,0.0082,0.034,0.0038
20110504,0.008,0.0121,0.0169,0.037,0.001
20110505,0.0026,0.0071,0.0252,0.0349,0.0054
20110506,0,0.0053,0.0224,0.0277,0.0026
20110507,0,0.0011,0.0228,0.0239,0.0002
20110508,0,0.0027,0.0202,0.0229,0
20110509,0,0.0061,0.0283,0.0344,0
20110510,0,0.0126,0.0361,0.0487,0.0038
20110511,0,0.0214,0.0399,0.0613,0.0092
20110512,0,0.0258,0.0416,0.0674,0.0058
20110513,0.0001,0.0167,0.0469,0.0637,0.0068
20110514,0,0.0123,0.0349,0.0472,0.0068
20110515,0,0.0078,0.031,0.0388,0
20110516,0,0.0013,0.032,0.0333,0.0002
20110517,0,0.0014,0.0346,0.036,0
20110518,0.0001,0.0056,0.0323,0.038,0.0048
20110519,0,0.0019,0.0243,0.0262,0.0002
20110520,0.0003,0.0098,0.0222,0.0323,0.0032
20110521,0.0007,0.0157,0.0173,0.0337,0.004
20110522,0,0.0244,0.0094,0.0338,0.0018
20110523,0.0004,0.0265,0.0032,0.0301,0.0074
20110524,0,0.0354,0.0001,0.0355,0.0315
20110525,0,0.034,0.0009,0.0349,0.017
20110526,0.0002,0.036,0.0021,0.0383,0.003
20110527,0.0049,0.0287,0.0016,0.0352,0.006
20110528,0.0112,0.0337,0.0033,0.0482,0.0004
20110529,0.0195,0.0298,0.0027,0.052,0.007
20110530,0.0211,0.0282,0.0033,0.0526,0.0134
20110531,0.0239,0.0281,0.0015,0.0535,0.0182
20110601,0.0193,0.0351,0.002,0.0564,0.012
20110602,0.0164,0.025,0.002,0.0434,0.0008
20110603,0.0144,0.0138,0.0028,0.031,0.0048
20110604,0.0048,0.0056,0.0011,0.0115,0.003
20110605,0.0006,0.0001,0.0007,0.0014,0
20110606,0,0.0004,0.0051,0.0055,0.0004
20110607,0,0.0041,0.0117,0.0158,0.0004
20110608,0,0.0081,0.02,0.0281,0.0008
20110609,0,0.012,0.0251,0.0371,0.0046
20110610,0,0.0175,0.0228,0.0403,0.0128
20110611,0,0.0124,0.0146,0.027,0.0044
20110612,0,0.008,0.0144,0.0224,0.002
20110613,0.0002,0.0057,0.0105,0.0164,0.001
20110614,0,0.0084,0.0065,0.0149,0.0022
20110615,0.0003,0.0214,0.0071,0.0288,0.0038
20110616,0,0.0354,0.0061,0.0415,0.0102
20110617,0,0.0357,0.0028,0.0385,0.0072
20110618,0,0.0345,0.0004,0.0349,0.0076
20110619,0,0.036,0,0.036,0.0247
20110620,0,0.0328,0,0.0328,0.0229
20110621,0,0.033,0.0001,0.0331,0.0008
20110622,0,0.026,0,0.026,0.003
20110623,0.0001,0.0262,0,0.0263,0.003
20110624,0.0036,0.0198,0.0009,0.0243,0
20110625,0.0075,0.0232,0.002,0.0327,0.0022
20110626,0.016,0.0286,0.0038,0.0484,0.0102
20110627,0.0175,0.0318,0.0032,0.0525,0.0126
20110628,0.0208,0.0291,0.0098,0.0597,0.0164
20110629,0.0188,0.0286,0.0107,0.0581,0.0048
20110630,0.0229,0.0179,0.0083,0.0491,0.005
20110701,0.0255,0.0145,0.0047,0.0447,0.0084
20110702,0.0197,0.0093,0.0008,0.0298,0.003
20110703,0.0079,0.0115,0.0001,0.0195,0
20110704,0.0009,0.0159,0.0054,0.0222,0.0052
20110705,0,0.0209,0.0089,0.0298,0.0126
20110706,0,0.031,0.0131,0.0441,0.012
20110707,0,0.0423,0.0114,0.0537,0.0132
20110708,0,0.0349,0.0097,0.0446,0.0174
20110709,0,0.0261,0.0087,0.0348,0.0078
20110710,0,0.0183,0.006,0.0243,0.006
20110711,0.0009,0.0195,0.0011,0.0215,0.0044
20110712,0.0008,0.0269,0.0043,0.032,0.004
20110713,0.0012,0.0463,0.0103,0.0578,0.008
20110714,0.0038,0.0546,0.0116,0.07,0.0164
20110715,0.0002,0.061,0.0169,0.0781,0.0309
20110716,0,0.0665,0.0158,0.0823,0.0385
20110717,0,0.0557,0.0085,0.0642,0.0333
20110718,0,0.0445,0.0019,0.0464,0.0054
20110719,0,0.0397,0.0002,0.0399,0.003
20110720,0,0.0236,0.0001,0.0237,0.0006
20110721,0.0006,0.0112,0,0.0118,0.0022
20110722,0.0027,0.0104,0.0003,0.0134,0.0006
20110723,0.0042,0.0175,0.0039,0.0256,0.001
20110724,0.0084,0.0158,0.0055,0.0297,0
20110725,0.0117,0.0211,0.0063,0.0391,0.0068
