date,north,middle,south,total,redzone
20210809,0.0423,0.0375,0.0235,0.1033,0.0148
20210808,0.0436,0.0499,0.0212,0.1147,0.0243
20210807,0.0446,0.0587,0.0222,0.1255,0.0261
20210806,0.0432,0.0814,0.0144,0.139,0.0365
20210805,0.0442,0.0695,0.008,0.1217,0.0297
20210804,0.0401,0.0738,0.0029,0.1168,0.0265
20210803,0.0385,0.0739,0.0018,0.1142,0.0389
20210802,0.0422,0.0631,0.0014,0.1067,0.0283
20210801,0.0437,0.0384,0.0004,0.0825,0.0062
20210731,0.0455,0.0124,0.0,0.0579,0.0002
20210730,0.041,0.0043,0.0,0.0453,0.0004
20210729,0.0421,0.0066,0.0,0.0487,0.006
20210728,0.0441,0.0103,0.0,0.0544,0.0014
20210727,0.0246,0.004,0.0,0.0286,0.0024
20210726,0.0301,0.0039,0.0008,0.0348,0.0014
20210725,0.0319,0.0046,0.0028,0.0393,0.0014
20210724,0.0318,0.0144,0.0025,0.0487,0.0046
20210723,0.0329,0.0301,0.0006,0.0636,0.0144
20210722,0.0298,0.0532,0.0,0.083,0.0237
20210721,0.0261,0.0557,0.0,0.0818,0.0331
20210720,0.0201,0.0611,0.0009,0.0821,0.0291
20210719,0.0188,0.0478,0.0017,0.0683,0.0297
20210718,0.0192,0.023,0.0033,0.0455,0.0144
20210717,0.022,0.025,0.0044,0.0514,0.0072
20210716,0.0252,0.0136,0.0075,0.0463,0.0076
20210715,0.0227,0.0293,0.0168,0.0688,0.0172
20210714,0.0219,0.0395,0.026,0.0874,0.0186
20210713,0.0185,0.0616,0.0333,0.1134,0.0261
20210712,0.0181,0.0788,0.051,0.1479,0.0202
20210711,0.02,0.0991,0.05,0.1691,0.0345
20210710,0.0247,0.1089,0.0475,0.1811,0.0533
20210709,0.0302,0.1053,0.0354,0.1709,0.0543
20210708,0.0303,0.0792,0.0214,0.1309,0.0331
20210707,0.0342,0.073,0.0145,0.1217,0.021
20210706,0.0366,0.0545,0.0081,0.0992,0.0192
20210705,0.033,0.0334,0.0069,0.0733,0.0102
20210704,0.0299,0.0146,0.0053,0.0498,0.0052
20210703,0.0233,0.0115,0.0021,0.0369,0.0014
20210702,0.0251,0.0042,0.0006,0.0299,0.0004
20210701,0.0223,0.024,0.0,0.0463,0.0219
20210630,0.0202,0.0164,0.0,0.0366,0.004
20210629,0.0229,0.0094,0.0,0.0323,0.0006
20210628,0.0283,0.0077,0.0,0.036,0.0
20210627,0.0354,0.0359,0.0001,0.0714,0.0122
20210626,0.0344,0.0348,0.0022,0.0714,0.02
20210625,0.037,0.0561,0.0046,0.0977,0.0291
20210624,0.035,0.0587,0.0056,0.0993,0.0227
20210623,0.0286,0.0459,0.0063,0.0808,0.0194
20210622,0.0279,0.0269,0.0059,0.0607,0.0166
20210621,0.0352,0.0181,0.0032,0.0565,0.0132
20210620,0.0382,0.0207,0.0003,0.0592,0.005
20210619,0.0303,0.0228,0.0002,0.0533,0.0158
20210618,0.0296,0.0164,0.0067,0.0527,0.0084
20210617,0.0297,0.0102,0.0188,0.0587,0.001
20210616,0.02,0.0432,0.0334,0.0966,0.0124
20210615,0.0116,0.0535,0.049,0.1141,0.0144
20210614,0.004,0.0633,0.0542,0.1215,0.0112
20210613,0.0075,0.0757,0.0622,0.1454,0.0349
20210612,0.0093,0.07,0.0619,0.1412,0.0491
20210611,0.0139,0.0712,0.0513,0.1364,0.0291
20210610,0.0179,0.0609,0.0479,0.1267,0.0219
20210609,0.022,0.039,0.0289,0.0899,0.0024
20210608,0.0319,0.029,0.0254,0.0863,0.0064
20210607,0.0276,0.0439,0.0175,0.089,0.012
20210606,0.0325,0.0708,0.021,0.1243,0.0221
20210605,0.0287,0.0671,0.0275,0.1233,0.0387
20210604,0.0238,0.0581,0.0219,0.1038,0.0375
20210603,0.025,0.0666,0.0197,0.1113,0.0305
20210602,0.0208,0.0717,0.0089,0.1014,0.0156
20210601,0.0222,0.0836,0.0041,0.1099,0.0168
20210531,0.0242,0.106,0.0012,0.1314,0.0603
20210530,0.0221,0.1256,0.0016,0.1493,0.0916
20210529,0.0189,0.1251,0.0033,0.1473,0.0477
20210528,0.0154,0.0702,0.0041,0.0897,0.0128
20210527,0.0122,0.0556,0.0039,0.0717,0.0229
20210526,0.0056,0.0528,0.0031,0.0615,0.0247
20210525,0.003,0.039,0.0009,0.0429,0.019
20210524,0.0151,0.0267,0.0011,0.0429,0.006
20210523,0.0283,0.0144,0.003,0.0457,0.007
20210522,0.0346,0.0255,0.0065,0.0666,0.0092
20210521,0.0331,0.0327,0.0158,0.0816,0.0178
20210520,0.0292,0.0523,0.0292,0.1107,0.0178
20210519,0.019,0.0509,0.0376,0.1075,0.0062
20210518,0.0094,0.081,0.0449,0.1353,0.0094
20210517,0.0035,0.1042,0.0578,0.1655,0.0441
20210516,0.0003,0.1175,0.0687,0.1865,0.0854
20210515,0.0007,0.113,0.0572,0.1709,0.0623
20210514,0.0019,0.084,0.0574,0.1433,0.0251
20210513,0.0039,0.0521,0.0504,0.1064,0.0102
20210512,0.005,0.0496,0.0449,0.0995,0.0076
20210511,0.0054,0.0481,0.0459,0.0994,0.0108
20210510,0.0053,0.0522,0.0323,0.0898,0.0327
20210509,0.007,0.0513,0.0279,0.0862,0.0277
20210508,0.0133,0.0499,0.0335,0.0967,0.008
20210507,0.0153,0.0644,0.035,0.1147,0.0084
20210506,0.0181,0.0896,0.0345,0.1422,0.0317
20210505,0.0139,0.1369,0.036,0.1868,0.0537
