date,north,middle,south,total,redzone
20210807,0.0367,0.0397,0.0169,0.0933,0.0164
20210806,0.0369,0.0528,0.011,0.1007,0.0237
20210805,0.0374,0.0453,0.0047,0.0874,0.0198
20210804,0.0332,0.0525,0.002,0.0877,0.0194
20210803,0.033,0.0545,0.001,0.0885,0.0289
20210802,0.0363,0.0469,0.0006,0.0838,0.0204
20210801,0.0392,0.0273,0.0001,0.0666,0.003
20210731,0.0388,0.0069,0.5104,0.5561,0.0
20210730,0.036,0.0019,0.5102,0.5481,0.0
20210729,0.0366,0.0041,0.5101,0.5508,0.0034
20210728,0.0367,0.0072,0.5097,0.5536,0.0006
20210727,0.0207,0.9678,0.5089,1.4974,0.0036
20210726,0.0258,0.9649,0.0007,0.9914,0.004
20210725,0.0274,0.9647,0.0022,0.9943,0.0034
20210724,0.0264,0.0095,0.0017,0.0376,0.0028
20210723,0.0265,0.0183,0.5088,0.5536,0.0088
20210722,0.0248,0.0367,0.5092,0.5707,0.0146
20210721,0.0203,0.0395,0.5095,0.5693,0.0204
20210720,0.0162,0.0406,0.5093,0.5661,0.0184
20210719,0.0156,0.033,0.5088,0.5574,0.0202
20210718,0.0168,0.0124,0.0023,0.0315,0.0076
20210717,0.0174,0.0149,0.0028,0.0351,0.0048
20210716,0.0205,0.008,0.0051,0.0336,0.0048
20210715,0.0183,0.0172,0.0122,0.0477,0.0094
20210714,0.0177,0.0271,0.0196,0.0644,0.0126
20210713,0.0148,0.0393,0.0249,0.079,0.0148
20210712,0.0144,0.0574,0.0382,0.11,0.0138
20210711,0.016,0.0734,0.0358,0.1252,0.0237
20210710,0.0201,0.0852,0.0386,0.1439,0.0429
20210709,0.0244,0.0806,0.026,0.131,0.0393
20210708,0.026,0.0623,0.015,0.1033,0.0243
20210707,0.0286,0.0533,0.0102,0.0921,0.014
20210706,0.0321,0.038,0.0061,0.0762,0.0114
20210705,0.0278,0.0245,0.0057,0.058,0.0064
20210704,0.0263,0.9593,0.0043,0.9899,0.0018
20210703,0.0199,0.0113,0.0011,0.0323,0.0006
20210702,0.0202,0.9672,0.0003,0.9877,0.1496
20210627,0.0293,0.0211,0.5105,0.5609,0.008
20210626,0.0282,0.0225,0.0012,0.0519,0.0132
20210625,0.03,0.0352,0.0035,0.0687,0.0178
20210624,0.0275,0.0353,0.0042,0.067,0.014
20210623,0.0234,0.0269,0.0041,0.0544,0.0104
20210622,0.0227,0.018,0.0035,0.0442,0.0108
